,kernel,c,gamma,precision,accuracy,recall,f1_score,score,Standardize
0,rbf,0.1,0.01,0.9166666666666666,0.6635514018691588,0.2391304347826087,0.3793103448275862,0.6635514018691588,True
0,rbf,0.1,0.02,0.875,0.7383177570093458,0.45652173913043476,0.6,0.7383177570093458,True
0,rbf,0.1,0.03,0.8387096774193549,0.7663551401869159,0.5652173913043478,0.6753246753246753,0.7663551401869159,True
0,rbf,0.1,0.04,0.8387096774193549,0.7663551401869159,0.5652173913043478,0.6753246753246753,0.7663551401869159,True
0,rbf,0.1,0.05,0.8461538461538461,0.7383177570093458,0.4782608695652174,0.6111111111111112,0.7383177570093458,True
0,rbf,0.1,0.060000000000000005,0.8636363636363636,0.719626168224299,0.41304347826086957,0.5588235294117647,0.719626168224299,True
0,rbf,0.1,0.06999999999999999,0.8636363636363636,0.719626168224299,0.41304347826086957,0.5588235294117647,0.719626168224299,True
0,rbf,0.1,0.08,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.09,0.8636363636363636,0.719626168224299,0.41304347826086957,0.5588235294117647,0.719626168224299,True
0,rbf,0.1,0.09999999999999999,0.88,0.7476635514018691,0.4782608695652174,0.619718309859155,0.7476635514018691,True
0,rbf,0.1,0.11,0.88,0.7476635514018691,0.4782608695652174,0.619718309859155,0.7476635514018691,True
0,rbf,0.1,0.12,0.875,0.7383177570093458,0.45652173913043476,0.6,0.7383177570093458,True
0,rbf,0.1,0.13,0.875,0.7383177570093458,0.45652173913043476,0.6,0.7383177570093458,True
0,rbf,0.1,0.14,0.875,0.7383177570093458,0.45652173913043476,0.6,0.7383177570093458,True
0,rbf,0.1,0.15000000000000002,0.875,0.7383177570093458,0.45652173913043476,0.6,0.7383177570093458,True
0,rbf,0.1,0.16,0.8695652173913043,0.7289719626168224,0.43478260869565216,0.5797101449275363,0.7289719626168224,True
0,rbf,0.1,0.17,0.8695652173913043,0.7289719626168224,0.43478260869565216,0.5797101449275363,0.7289719626168224,True
0,rbf,0.1,0.18000000000000002,0.8695652173913043,0.7289719626168224,0.43478260869565216,0.5797101449275363,0.7289719626168224,True
0,rbf,0.1,0.19,0.8695652173913043,0.7289719626168224,0.43478260869565216,0.5797101449275363,0.7289719626168224,True
0,rbf,0.1,0.2,0.8695652173913043,0.7289719626168224,0.43478260869565216,0.5797101449275363,0.7289719626168224,True
0,rbf,0.1,0.21000000000000002,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.22,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.23,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.24000000000000002,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.25,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.26,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.27,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.28,0.9047619047619048,0.7289719626168224,0.41304347826086957,0.5671641791044776,0.7289719626168224,True
0,rbf,0.1,0.29000000000000004,0.9,0.719626168224299,0.391304347826087,0.5454545454545454,0.719626168224299,True
0,rbf,0.1,0.3,0.9,0.719626168224299,0.391304347826087,0.5454545454545454,0.719626168224299,True
0,rbf,0.1,0.31,0.9,0.719626168224299,0.391304347826087,0.5454545454545454,0.719626168224299,True
0,rbf,0.1,0.32,0.9,0.719626168224299,0.391304347826087,0.5454545454545454,0.719626168224299,True
0,rbf,0.1,0.33,0.9,0.719626168224299,0.391304347826087,0.5454545454545454,0.719626168224299,True
0,rbf,0.1,0.34,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.35000000000000003,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.36000000000000004,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.37,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.38,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.39,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.4,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.41000000000000003,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.42000000000000004,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.43,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.44,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.45,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.46,0.8947368421052632,0.7102803738317757,0.3695652173913043,0.5230769230769231,0.7102803738317757,True
0,rbf,0.1,0.47000000000000003,0.8888888888888888,0.7009345794392523,0.34782608695652173,0.5,0.7009345794392523,True
0,rbf,0.1,0.48000000000000004,0.8888888888888888,0.7009345794392523,0.34782608695652173,0.5,0.7009345794392523,True
0,rbf,0.1,0.49,0.8823529411764706,0.6915887850467289,0.32608695652173914,0.47619047619047616,0.6915887850467289,True
0,rbf,0.1,0.5,0.875,0.6822429906542056,0.30434782608695654,0.4516129032258065,0.6822429906542056,True
0,rbf,0.1,0.51,0.875,0.6822429906542056,0.30434782608695654,0.4516129032258065,0.6822429906542056,True
0,rbf,0.1,0.52,0.875,0.6822429906542056,0.30434782608695654,0.4516129032258065,0.6822429906542056,True
0,rbf,0.1,0.53,0.875,0.6822429906542056,0.30434782608695654,0.4516129032258065,0.6822429906542056,True
0,rbf,0.1,0.54,0.875,0.6822429906542056,0.30434782608695654,0.4516129032258065,0.6822429906542056,True
0,rbf,0.1,0.55,0.875,0.6822429906542056,0.30434782608695654,0.4516129032258065,0.6822429906542056,True
0,rbf,0.1,0.56,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.5700000000000001,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.5800000000000001,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.59,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.6,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.61,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.62,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.63,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.64,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.65,0.8666666666666667,0.6728971962616822,0.2826086956521739,0.4262295081967213,0.6728971962616822,True
0,rbf,0.1,0.66,0.8571428571428571,0.6635514018691588,0.2608695652173913,0.4,0.6635514018691588,True
0,rbf,0.1,0.67,0.9230769230769231,0.6728971962616822,0.2608695652173913,0.4067796610169491,0.6728971962616822,True
0,rbf,0.1,0.68,0.9166666666666666,0.6635514018691588,0.2391304347826087,0.3793103448275862,0.6635514018691588,True
0,rbf,0.1,0.6900000000000001,0.9166666666666666,0.6635514018691588,0.2391304347826087,0.3793103448275862,0.6635514018691588,True
0,rbf,0.1,0.7000000000000001,0.9090909090909091,0.6542056074766355,0.21739130434782608,0.3508771929824562,0.6542056074766355,True
0,rbf,0.1,0.7100000000000001,0.9090909090909091,0.6542056074766355,0.21739130434782608,0.3508771929824562,0.6542056074766355,True
0,rbf,0.1,0.72,0.9090909090909091,0.6542056074766355,0.21739130434782608,0.3508771929824562,0.6542056074766355,True
0,rbf,0.1,0.73,0.9090909090909091,0.6542056074766355,0.21739130434782608,0.3508771929824562,0.6542056074766355,True
0,rbf,0.1,0.74,0.9090909090909091,0.6542056074766355,0.21739130434782608,0.3508771929824562,0.6542056074766355,True
0,rbf,0.1,0.75,0.9090909090909091,0.6542056074766355,0.21739130434782608,0.3508771929824562,0.6542056074766355,True
0,rbf,0.1,0.76,0.9,0.6448598130841121,0.1956521739130435,0.3214285714285714,0.6448598130841121,True
0,rbf,0.1,0.77,0.9,0.6448598130841121,0.1956521739130435,0.3214285714285714,0.6448598130841121,True
0,rbf,0.1,0.78,0.9,0.6448598130841121,0.1956521739130435,0.3214285714285714,0.6448598130841121,True
0,rbf,0.1,0.79,0.9,0.6448598130841121,0.1956521739130435,0.3214285714285714,0.6448598130841121,True
0,rbf,0.1,0.8,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.81,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.8200000000000001,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.8300000000000001,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.8400000000000001,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.85,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.86,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.87,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.88,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.89,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.9,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.91,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.92,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.93,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.9400000000000001,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.9500000000000001,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.9600000000000001,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.97,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.98,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.1,0.99,0.8888888888888888,0.6355140186915887,0.17391304347826086,0.29090909090909095,0.6355140186915887,True
0,rbf,0.2,0.01,0.8157894736842105,0.794392523364486,0.6739130434782609,0.7380952380952381,0.794392523364486,True
0,rbf,0.2,0.02,0.7948717948717948,0.7850467289719626,0.6739130434782609,0.7294117647058824,0.7850467289719626,True
0,rbf,0.2,0.03,0.8157894736842105,0.794392523364486,0.6739130434782609,0.7380952380952381,0.794392523364486,True
0,rbf,0.2,0.04,0.7948717948717948,0.7850467289719626,0.6739130434782609,0.7294117647058824,0.7850467289719626,True
0,rbf,0.2,0.05,0.8387096774193549,0.7663551401869159,0.5652173913043478,0.6753246753246753,0.7663551401869159,True
0,rbf,0.2,0.060000000000000005,0.8333333333333334,0.7570093457943925,0.5434782608695652,0.6578947368421053,0.7570093457943925,True
0,rbf,0.2,0.06999999999999999,0.8333333333333334,0.7570093457943925,0.5434782608695652,0.6578947368421053,0.7570093457943925,True
0,rbf,0.2,0.08,0.8333333333333334,0.7570093457943925,0.5434782608695652,0.6578947368421053,0.7570093457943925,True
0,rbf,0.2,0.09,0.8333333333333334,0.7570093457943925,0.5434782608695652,0.6578947368421053,0.7570093457943925,True
0,rbf,0.2,0.09999999999999999,0.8620689655172413,0.7663551401869159,0.5434782608695652,0.6666666666666666,0.7663551401869159,True
